Argentina;Pago a proveedores;MT101
Argentina;Transferencias;MT101
Argentina;Nóminas;MT101
Chile;Pago a proveedores;MT101
Chile;Transferencias domésticas;MT101
Chile ;Nóminas;MT101
Colombia;Pago a proveedores;MT101
Colombia;Transferencias;MT101
Colombia;Nóminas;MT101
España;Nóminas;MT101
España;Transferencias domésticas;MT101
España;Transfererencias urgentes OMF;MT101
España;Transferencias EUR (FIT);MT101
España;Nóminas (FIM);MT101
Francia;SEPA París;MT101
Francia;Nóminas SEPA París;MT101
Francia;Pagos internacionales - Paris;MT101
Perú;Pago a proveedores;MT101
Perú;Transferencias domésticas;MT101
Perú;Nóminas;MT101
Portugal;Transferencias SEPA;MT101
Portugal;Nóminas SEPA;MT101
Portugal;Transferencias internacionales;MT101
Reino Unido;Pagos chaps-tesorería mismo día londres;MT101
Reino Unido;Pagos nacionales Londres;MT101
Reino Unido;Pagos nóminas bacs Londres;MT101
Reino Unido;Pagos internacionales Londres;MT101
Reino Unido;Transferencias SEPA Londres;MT101
USA;Pagos (payment) - n.y.;MT101
USA;Pagos Domésticos ACH NY;MT101
Venezuela;Pago a Proveedores;MT101
Venezuela;Transferencias;MT101
Venezuela;Nóminas;MT101
Argentina;Saldos y movimientos;MT940
Argentina;Movimientos del día en fichero (MT942);MT942
Chile;Saldos y movimientos;MT940
Colombia;Saldos y movimientos;MT940
Curaçao;Movimientos cuentas personales en fichero;MT940
España;Saldos y movimientos;MT940
Francia;Movimientos cuentas personales en fichero;MT940
Hong Kong;Movimientos cuentas personales en fichero;MT940
Italia;Movimientos cuentas personales en fichero;MT940
México;Saldos y movimientos;MT940
Otros países;Saldos y movimientos;MT940
Perú;Saldos y movimientos;MT940
Portugal;Saldos y movimientos;MT940
Reino Unido;Mvtos. Ctas. Pers. en Fichero;MT940
Uruguay;Saldos y movimientos;MT940
USA;Saldos y movimientos;MT940
Venezuela;Saldos y movimientos;MT940
Argentina;Respuestas;MT199; MT195
Bélgica;Saldos y movimientos;MT940
Chile;Movimientos del día en fichero (MT942);MT942
Colombia;Movimientos del día en fichero (MT942);MT942
Curaçao;Movimientos del día en fichero (MT942);MT942
España;Movimientos del día en fichero (MT942);MT942
Francia;Movimientos del día en fichero (MT942);MT942
Hong Kong;Movimientos del día en fichero (MT942);MT942
Italia;Movimientos del día en fichero (MT942);MT942
México;Movimientos del día en fichero (MT942);MT942
Otros países;Movimientos del día en fichero (MT942);MT942
Perú;Movimientos del día en fichero (MT942);MT942
Portugal;Movimientos del día en fichero (MT942);MT942
Reino Unido;Movimientos del día en fichero (MT942);MT942
Uruguay;Movimientos del día en fichero (MT942);MT942
USA;Movimientos del día en fichero (MT942);MT942
Venezuela;Movimientos del día en fichero (MT942);MT942
Bélgica;Movimientos del día en fichero (MT942);MT942
Bélgica;Respuestas;MT199; MT195
Chile;Respuestas;MT199; MT195
Colombia;Respuestas;MT199; MT195
Curaçao;Respuestas;MT199; MT195
España;Respuestas;MT199; MT195
Francia;Respuestas;MT199; MT195
Hong Kong;Respuestas;MT199; MT195
Italia;Respuestas;MT199; MT195
México;Respuestas;MT199; MT195
Otros países;Respuestas;MT199; MT195
Perú;Respuestas;MT199; MT195
Portugal;Respuestas;MT199; MT195
Reino Unido;Respuestas;MT199; MT195
Uruguay;Respuestas;MT199; MT195
USA;Respuestas;MT199; MT195
Venezuela;Respuestas;MT199; MT195
