Custodia de títulos;Argentina;WQ1;;;;;
Débito Directo;Argentina;REC;;;;;
Información de cheques;Argentina;ICC;;;;;
Otros servicios no disponibles;Argentina;;;;;;
Publicación de deuda de recaudos (Cliente-Banco);Argentina;FLL;;;;;
Publicación Recaudadora CUR;Argentina;MRC;;;;;
Recaudaciones Histórico;Argentina;MRN;;;;;
Recaudo Deuda Publi;Argentina;MR1;VCC;VCA;VNC;;
Recaudo FMT Extendido;Argentina;MR2;;;;;
Saldos y movimientos;Bélgica;RXM;;;;;
Pagos domesticos - Bruselas;Bélgica;PPB;;;;;
Pago internacionales - Bruselas;Bélgica;TIB;;;;;
Adeudos directos C19.14 SEPA - COR1;España;CSP;;;;;
Adeudos directos C19.14 SEPA - CORE;España;CSP;;;;;
Adeudos directos C19.44 Sepa ;España;CSX;;;;;
Anticipos de credito;España;CRE;;;;;
C19.14 Cancelaciones/Retrocesiones SEPA - COR1;España;SCA;;;;;
C19.14 Cancelaciones/Retrocesiones SEPA - CORE;España;SCA;;;;;
C19.44 Cancelaciones/Retrocesiones Sepa;España;SCX;;;;;
Confirming;España;CNF;;;;;
Confirming en divisa;España;CND;;;;;
Conversor Inverso ADEUDOS DIRECTOS 19.14 (SEPA);España;CIA;;;;;
Cheques;España;CHE;;;;;
Cheques en fichero 34.1;España;CH1;;;;;
Devol.efectos descontados en fichero;España;DVE;;;;;
Devol.recibos en fichero;España;DVR;;;;;
Devoluciones de antic.cred.via fichero;España;DVA;;;;;
Efectos al descuento;España;REM;;;;;
Envío Respuesta de Pagos XML PAIN.002;España;XTZ;;;;;
Euroconfirming;España;CNR;;;;;
Factoring;España;FAN;;;;;
Impag.Cuaderno 19.44 (SEPA B2B);España;N4D;;;;;
Impagados Cuaderno 19.14 (SEPA) - COR1;España;SD9;;;;;
Impagados Cuaderno 19.14 (SEPA) - CORE;España;SD9;;;;;
Inf. anticipos de confirming;España;ANC;;;;;
Infor Facturación Comercios en fichero;España;TCO;;;;;
Infor Facturación Comercios en fichero;España;NCO;;;;;
Información facturas factoring;España;FAP;;;;;
Información línea confirming;España;ILC;;;;;
Mvtos.tarjeta crédito en fichero;España;ITC;;;;;
Nóminas;España;NOM;N9D;S9R;N9R;X9D;X9R
Nóminas en fichero 34.1;España;NO1;;;;;
Otros servicios no disponibles;España;;N9D;S9R;N9R;X9D;X9R
Pagos certificados;España;CPG;;;;;
Pagos domiciliados;España;CPN;;;;;
Recibos domiciliados;España;REC;N4R;S4D;S4R;X4D;X4R
Respuestas Dedicadas;España;;;;;;
Respuestas GMM ;España;;;;;;
Respuestas Local Aplicativo;España;;;;;;
Respuestas Local C. Gestora ;España;;;;;;
Respuestas MT195;España;;;;;;
Respuestas OB;España;;;;;;
Pago a Proveedores (SIT);México;HST;;;;;
CIA SIT Comprobantes;México;HSC;;;;;
Nóminas;México;HNO;;;;;
Protección de Cheques;México;PCH;;;;;
Domiciliaciones;México;REC;;;;;
ABC Proveedores (crediproveedores/Confirming);México;HCP;;;;;
ABC Documentos (crediproveedores/Confirming);México;HCD;;;;;
CREDPRO CONSULTA SCRED DOCUMENTOS;México;CDH;;;;;
CREDIPRO CONSULTA RED PROPROVEEDORES;México;CPH;;;;;
CREDIPRO CONSULTA DE COMISIONES DRE COM;México;CCH;;;;;
Pago nóminas - paris;Francia;NOF;;;;;
Mvtos. Ctas. Pers. en Fichero;Francia;REX;RXM;;;;;
Saldos y movimientos- ETEBAC;Francia;ETE;;;;;
Transferencias tesoreria - paris;Francia;TTF;;;;;
Pago proveedores - paris;Francia;PPF;;;;;
CANCEL./RETR. CORE (SEPA) PARIS;Francia;PCR;;;;;
ADEUDOS CORE (SEPA) PARIS;Francia;ADP;;;;;
ADEUDOS B2B (SEPA) PARIS;Francia;ABP;;;;;
IMPAGADOS CORE (SEPA) PARIS;Francia;PIM;;;;;
CANCEL./RETR.B2B (SEPA) PARIS;Francia;PBR;;;;;
IMPAGADOS B2B (SEPA) PARIS;Francia;PBM;;;;;
Factoring;Perú;M08;;;;;
Transferencias Internacionales (TEX Macug);Perú;TEX;;;;;
TEC Macug (confirmación de trf. Int.)/CONFIRMACION MCUG;Perú;M11;;;;;
Confirming;Portugal;CNF;;;;;
Nóminas (ordenados);Portugal;NOM;;;;;
Nóminas urgentes;Portugal;SNU;;;;;
Nóminas*;Portugal;PS2;;;;;
Otros servicios no disponibles;Portugal;;;;;;
Respuestas Dedicadas;Portugal;;;;;;
Respuestas GMM ;Portugal;;;;;;
Respuestas Local Aplicativo;Portugal;;;;;;
Respuestas Local C. Gestora ;Portugal;;;;;;
Respuestas MT195;Portugal;;;;;;
Respuestas OB;Portugal;;;;;;
Ret. Ordenados;Portugal;RTO;;;;;
Ret. Tra. domestic;Portugal;RTR;;;;;
Retorno confirming;Portugal;RNF;;;;;
Retorno TRF Intern;Portugal;RTI;;;;;
Retrocesiones Nóminas SEPA;Portugal;RCN;;;;;
Retrocesiones Transferencias SEPA;Portugal;RCT;;;;;
SEPA DD - Devoluçao Reversoes;Portugal;RRV;;;;;
SEPA DD - Devoluçoes;Portugal;RDD;;;;;
SEPA DD - Reembolsos;Portugal;REE;;;;;
SEPA DD - Rejeiçoes;Portugal;REJ;;;;;
SEPA DD-INSTRUCOES;Portugal;IDD;;;;;
Respuestas Dedicadas;Argentina;;;;;;
Otros servicios no disponibles;Bélgica;;;;;;
Otros servicios no disponibles;Chile;;;;;;
Otros servicios no disponibles;Colombia;;;;;;
Otros servicios no disponibles;México;;;;;;
Otros servicios no disponibles;Francia;;;;;;
