Saldos y movimientos;Argentina;ISM;;;;;
Pago a proveedores;Argentina;PAP;;;;;
Transferencias;Argentina;TRA;;;;;
Nóminas;Argentina;NOM;;;;;
Débito Directo;Argentina;REC;;;;;
Publicación de deuda de recaudos (Cliente-Banco);Argentina;FLL;;;;;
Custodia de títulos;Argentina;WQ1;;;;;
Recaudaciones Histórico;Argentina;MRN;;;;;
Recaudo Deuda Publi;Argentina;MR1;;;;;
Recaudo FMT Extendido;Argentina;MR2;;;;;
Publicación Recaudadora CUR;Argentina;MRC;;;;;
Información de cheques;Argentina;ICC;VCC;VCA;VNC;;
Saldos y movimientos;Bélgica;REX;RXM;;;;
Pagos domesticos - Bruselas;Bélgica;PPB;;;;;
Pago internacionales - Bruselas;Bélgica;TIB;;;;;
Pago a proveedores;Chile;PRO;;;;;
Transferencias domésticas;Chile;TRN;;;;;
Saldos y movimientos;Chile;ISM;;;;;
Nóminas;Chile;NMA;;;;;
Saldos y movimientos;Colombia;ISM;;;;;
Pago a proveedores;Colombia;PRO;;;;;
Transferencias;Colombia;TRN;;;;;
Nóminas;Colombia;NMA;;;;;
Devol.recibos en fichero;España;DVR;;;;;
Recibos domiciliados;España;REC;;;;;
Devol.efectos descontados en fichero;España;DVE;;;;;
Efectos al descuento;España;REM;;;;;
Nóminas;España;NOM;;;;;
Transferencias domésticas;España;TRA;;;;;
Cheques;España;CHE;;;;;
Transferencias urgentes (OMF);España;OMF;;;;;
Nóminas en fichero 34.1;España;NO1;;;;;
Cheques en fichero 34.1;España;CH1;;;;;
Transferencias en fichero 34.1;España;TR1;;;;;
Transferencia sepa 34,12;España;TRS;;;;;
Transferencias AEB34.14 SEPA;España;AES;;;;;
Transferencias EUR (FIT);España;FIT;;;;;
Nóminas (FIM);España;FIM;;;;;
Saldos y movimientos;España;ISM;;;;;
Anticipos de credito;España;CRE;;;;;
Devoluciones de antic.cred.via fichero;España;DVA;;;;;
Saldos y movimientos;España;MVD;;;;;
Pagos certificados;España;CPG;;;;;
Confirming;España;CNF;;;;;
Pagos domiciliados;España;CPN;;;;;
Información facturas factoring;España;FAP;;;;;
Factoring;España;FAN;;;;;
Confirming en divisa;España;CND;;;;;
Información línea confirming;España;ILC;;;;;
Mvtos.tarjeta crédito en fichero;España;ITC;;;;;
Transferencias Internacionales;España;TIN;;;;;
Euroconfirming;España;CNR;;;;;
Adeudos directos C19.14 SEPA - CORE;España;CSP;;;;;
