PROY0017_03	Perú	Respuestas	Excluido por negocio	XXX																	
PROY0017_03	Argentina	Transferencias	Excluido por negocio	TRA			TRA Propietario														
PROY0017_04	México	Pago a proveedores (SIT)	Excluido por negocio	HST																	
PROY0017_05	Chile	Pago a proveedores	Excluido por negocio	PRO	Pendiente de las pruebas de OneBank de los pagos de España																
PROY0017_06	Perú	Pago a Proveedores	En Test - Aceptación	M03	Se han parado las pruebas en diciembre porque están considerando si seguir adelante o no porque la actividad del cliente entra en conflicto con la del banco (son competencia)					41956											
PROY0017_06	Perú	Saldos y movimientos	En Test - Aceptación	MT940						41976	41976										
PROY0017_06	Perú	Transferencias Internacionales (TEX Macug)	Excluido por negocio	TEX																	
PROY0018_01	Colombia	Pago a proveedores	Implementado con OK	PRO																	
PROY0018_02	Colombia	Nóminas	Implementado sin OK	MT101										41538							
PROY0018_03	Colombia	Pago a proveedores	En Test - Integración	PRO	El PROYecto se paró el 14/04/14 y se relanzó el 01/10/14		PRO		4017									41757	41789	41955	41971
PROY0018_03	Colombia	Nóminas	En Test - Integración	NMA	El PROYecto se paró el 14/04/14 y se relanzó el 01/10/14		NMA		4017									41757	41789	41955	41971
PROY0018_03	Colombia	Respuestas	En Test - Integración	XXX	Respuestas para PRO. El PROYecto se paró el 14/04/14 y se relanzó el 01/10/14		R22 y R4		4017									41757	41789	41955	41971
PROY0018_03	Colombia	Respuestas	En Test - Integración	XXX	Respuestas para NMA. El PROYecto se paró el 14/04/14 y se relanzó el 01/10/14		R22 y R4		4017									41757	41789	41955	41971
PROY0018_03	Colombia	Pago a proveedores	En Test - Integración	PRO		XML V3	PRO		4017									41948	41992	41955	41971
PROY0018_03	Colombia	Nóminas	En Test - Integración	NMA		XML V3	NMA		4017									41948	41992	41955	41971
PROY0018_03	Colombia	Respuestas	En Test - Integración	XXX	Respuestas PRO		R22 y R4		4017									41948	41992	41955	41971
PROY0018_03	Colombia	Respuestas	En Test - Integración	XXX	Respuestas NMA		R22 y R4		4017									41948	41992	41955	41971
